date_game,opp_name,game_result,pts,opp_pts,wins,losses,game_streak
"Wed, Oct 17, 2018",Memphis Grizzlies,W,111,83,1,0,W 1
"Fri, Oct 19, 2018",Milwaukee Bucks,L,101,118,1,1,L 1
"Sat, Oct 20, 2018",Brooklyn Nets,W,132,112,2,1,W 1
"Mon, Oct 22, 2018",Minnesota Timberwolves,L,91,101,2,2,L 1
"Wed, Oct 24, 2018",San Antonio Spurs,W,116,96,3,2,W 1
"Sat, Oct 27, 2018",Cleveland Cavaliers,W,119,107,4,2,W 2
"Mon, Oct 29, 2018",Portland Trail Blazers,L,93,103,4,3,L 1
"Wed, Oct 31, 2018",New York Knicks,W,107,101,5,3,W 1
"Fri, Nov 2, 2018",Chicago Bulls,W,107,105,6,3,W 2
"Sat, Nov 3, 2018",Boston Celtics,W,102,101,7,3,W 3
"Mon, Nov 5, 2018",Houston Rockets,L,94,98,7,4,L 1
"Wed, Nov 7, 2018",Philadelphia 76ers,L,94,100,7,5,L 2
"Fri, Nov 9, 2018",Miami Heat,W,110,102,8,5,W 1
"Sun, Nov 11, 2018",Houston Rockets,L,103,115,8,6,L 1
"Fri, Nov 16, 2018",Miami Heat,W,99,91,9,6,W 1
"Sat, Nov 17, 2018",Atlanta Hawks,W,97,89,10,6,W 2
"Mon, Nov 19, 2018",Utah Jazz,W,121,94,11,6,W 3
"Wed, Nov 21, 2018",Charlotte Hornets,L,109,127,11,7,L 1
"Fri, Nov 23, 2018",San Antonio Spurs,L,100,111,11,8,L 2
"Mon, Nov 26, 2018",Utah Jazz,W,121,88,12,8,W 1
"Tue, Nov 27, 2018",Phoenix Suns,W,109,104,13,8,W 2
"Thu, Nov 29, 2018",Los Angeles Lakers,L,96,104,13,9,L 1
"Sat, Dec 1, 2018",Sacramento Kings,L,110,111,13,10,L 2
"Tue, Dec 4, 2018",Chicago Bulls,W,96,90,14,10,W 1
"Fri, Dec 7, 2018",Orlando Magic,W,112,90,15,10,W 2
"Sat, Dec 8, 2018",Sacramento Kings,W,107,97,16,10,W 3
"Mon, Dec 10, 2018",Washington Wizards,W,109,101,17,10,W 4
"Wed, Dec 12, 2018",Milwaukee Bucks,W,113,97,18,10,W 5
"Fri, Dec 14, 2018",Philadelphia 76ers,W,113,101,19,10,W 6
"Sun, Dec 16, 2018",New York Knicks,W,110,99,20,10,W 7
"Tue, Dec 18, 2018",Cleveland Cavaliers,L,91,92,20,11,L 1
"Wed, Dec 19, 2018",Toronto Raptors,L,96,99,20,12,L 2
"Fri, Dec 21, 2018",Brooklyn Nets,W,114,106,21,12,W 1
"Sun, Dec 23, 2018",Washington Wizards,W,105,89,22,12,W 2
"Wed, Dec 26, 2018",Atlanta Hawks,W,129,121,23,12,W 3
"Fri, Dec 28, 2018",Detroit Pistons,W,125,88,24,12,W 4
"Mon, Dec 31, 2018",Atlanta Hawks,W,116,108,25,12,W 5
"Fri, Jan 4, 2019",Chicago Bulls,W,119,116,26,12,W 6
"Sun, Jan 6, 2019",Toronto Raptors,L,105,121,26,13,L 1
"Tue, Jan 8, 2019",Cleveland Cavaliers,W,123,115,27,13,W 1
"Wed, Jan 9, 2019",Boston Celtics,L,108,135,27,14,L 1
"Fri, Jan 11, 2019",New York Knicks,W,121,106,28,14,W 1
"Tue, Jan 15, 2019",Phoenix Suns,W,131,97,29,14,W 2
"Thu, Jan 17, 2019",Philadelphia 76ers,L,96,120,29,15,L 1
"Sat, Jan 19, 2019",Dallas Mavericks,W,111,99,30,15,W 1
"Sun, Jan 20, 2019",Charlotte Hornets,W,120,95,31,15,W 2
"Wed, Jan 23, 2019",Toronto Raptors,W,110,106,32,15,W 3
"Sat, Jan 26, 2019",Memphis Grizzlies,L,103,106,32,16,L 1
"Mon, Jan 28, 2019",Golden State Warriors,L,100,132,32,17,L 2
"Wed, Jan 30, 2019",Washington Wizards,L,89,107,32,18,L 3
"Thu, Jan 31, 2019",Orlando Magic,L,100,107,32,19,L 4
"Sat, Feb 2, 2019",Miami Heat,W,95,88,33,19,W 1
"Mon, Feb 4, 2019",New Orleans Pelicans,W,109,107,34,19,W 2
"Tue, Feb 5, 2019",Los Angeles Lakers,W,136,94,35,19,W 3
"Thu, Feb 7, 2019",Los Angeles Clippers,W,116,92,36,19,W 4
"Sat, Feb 9, 2019",Cleveland Cavaliers,W,105,90,37,19,W 5
"Mon, Feb 11, 2019",Charlotte Hornets,W,99,90,38,19,W 6
"Wed, Feb 13, 2019",Milwaukee Bucks,L,97,106,38,20,L 1
"Fri, Feb 22, 2019",New Orleans Pelicans,W,126,111,39,20,W 1
"Sat, Feb 23, 2019",Washington Wizards,W,119,112,40,20,W 2
"Mon, Feb 25, 2019",Detroit Pistons,L,109,113,40,21,L 1
"Wed, Feb 27, 2019",Dallas Mavericks,L,101,110,40,22,L 2
"Thu, Feb 28, 2019",Minnesota Timberwolves,W,122,115,41,22,W 1
"Sat, Mar 2, 2019",Orlando Magic,L,112,117,41,23,L 1
"Tue, Mar 5, 2019",Chicago Bulls,W,105,96,42,23,W 1
"Thu, Mar 7, 2019",Milwaukee Bucks,L,98,117,42,24,L 1
"Sun, Mar 10, 2019",Philadelphia 76ers,L,89,106,42,25,L 2
"Tue, Mar 12, 2019",New York Knicks,W,103,98,43,25,W 1
"Thu, Mar 14, 2019",Oklahoma City Thunder,W,108,106,44,25,W 2
"Sat, Mar 16, 2019",Denver Nuggets,L,100,102,44,26,L 1
"Mon, Mar 18, 2019",Portland Trail Blazers,L,98,106,44,27,L 2
"Tue, Mar 19, 2019",Los Angeles Clippers,L,109,115,44,28,L 3
"Thu, Mar 21, 2019",Golden State Warriors,L,89,112,44,29,L 4
"Sun, Mar 24, 2019",Denver Nuggets,W,124,88,45,29,W 1
"Wed, Mar 27, 2019",Oklahoma City Thunder,L,99,107,45,30,L 1
"Fri, Mar 29, 2019",Boston Celtics,L,112,114,45,31,L 2
"Sat, Mar 30, 2019",Orlando Magic,L,116,121,45,32,L 3
"Mon, Apr 1, 2019",Detroit Pistons,W,111,102,46,32,W 1
"Wed, Apr 3, 2019",Detroit Pistons,W,108,89,47,32,W 2
"Fri, Apr 5, 2019",Boston Celtics,L,97,117,47,33,L 1
"Sun, Apr 7, 2019",Brooklyn Nets,L,96,108,47,34,L 2
"Wed, Apr 10, 2019",Atlanta Hawks,W,135,134,48,34,W 1
"Sun, Apr 14, 2019",Boston Celtics,L,74,84,0,1,L 1
"Wed, Apr 17, 2019",Boston Celtics,L,91,99,0,2,L 2
"Fri, Apr 19, 2019",Boston Celtics,L,96,104,0,3,L 3
"Sun, Apr 21, 2019",Boston Celtics,L,106,110,0,4,L 4
